Table 1
,,,,,,
,The Movement for Palestine Takes Over MoMA,The Nation,12 hours ago,Hundreds of protesters occupied the storied museum in a reminder that theart world cannot evade its political and moral responsibilities.,,
,"Two Star Artists Pull Shows in Berlin, Claiming Museum Would Not ExhibitPro-Palestine Gesture",ARTnews.com,1 day ago,"Artists Banu Cennetoglu and Pilvi Takala canceled shows at the NeueBerliner Kunstverein, claiming the museum wouldn't show a pro-Palestine...",,
,Five-year-old Palestinian girl found dead after being trapped in car underIsraeli fire,CNN,3 days ago,A 5-year-old Palestinian girl who was trapped in a car with her deadrelatives after it came under Israeli fire in Gaza last month has been...,,
,Palestinian refugees in West Bank fear UNRWA closure,Reuters,3 days ago,The UN agency is a lifeline for Palestinian refugees across Gaza and theMiddle East. They fear key services will stop after donors paused...,,
,"Israel frees two hostages, Palestinian TV says 74 killed in assault",Reuters,1 day ago,Israel on Monday freed two Israeli-Argentine hostages held by Hamas inRafah in a ferocious rescue operation that killed 74 Palestinians in...,,
,Hundreds of Pro-Palestine Protestors Stage Events at MoMA and BrooklynMuseum,ARTnews.com,3 days ago,Hundreds of people gathered at the two museums to call for a ceasefire andraise attention about MoMA's board members.,,
,South Africa-Palestine football match promoted by Hamas proxies,The Jerusalem Post,2 days ago,"South African President Cyril Ramaphosa was present at the match, giving aspeech calling to ""Free Palestine.",,
,Pro-Palestine Demonstrators Stage Sit-In at British Museum over BP Deal,ARTnews.com,2 days ago,"On February 11, pro-Palestinian protestors recently staged a sit-in at theBritish Museum over its 10-year deal with BP.",,
,Palestinian doctor braves sniper fire to help wounded in Gaza,Al Jazeera,2 days ago,Palestinian doctor Amira al-Asooli has risked getting shot by Israelisnipers to help wounded people.,,
,,,,,,
,,,,,,
,Palestinian Red Crescent accuses Israeli forces of killing Gaza family andmedics sent to rescue them,PBS,3 days ago,"A desperate rescue attempt in Gaza by medics with the Palestinian RedCrescent has ended with the discovery of their ambulance,...",,
,Palestinian children among the wounded of Israel's bombardment of Rafah,NBC News,2 days ago,Children were among the injured taken to Rafah's Kuwait Hospital after anintense Israeli bombardment to help secure the rescue of two...,,
,"Israeli Raids in Lebanon Kill Four, Including Two Children",Palestine Chronicle,4 hours ago,The attacks on civilian homes came after the Lebanese Resistance MovementHezbollah carried out a major operation earlier on Wednesday.,,
,Biden to travel to East Palestine to mark one year of train derailment,The Hill,3 days ago,"President Biden will travel to East Palestine on Feb. 16, a little morethan a year a since the derailment of a Norfolk Southern train...",,
,Governing Gaza After the War: Palestinian Debates,Carnegie Endowment for International Peace,5 days ago,"Mkhaimar Abusada, Zaha Hassan, Sanaa Alsarghali, Nathan J. Brown, ImadAlsoos, Vladimir Pran, Nur Arafeh. February 09, 2024. Source: Getty.",,
,UW-Madison police officer shoves pro-Palestine protester at career fair,The Daily Cardinal,20 hours ago,A UWPD officer shoved a protester during a Tuesday afternoon protest led byStudents for Justice in Palestine.,,
,"Netanyahu pursuing Gaza war ‘for his personal career,’ says Palestine’s FM",Al Arabiya English,5 hours ago,Palestinian Foreign Minister Riyad al-Maliki accused Israeli Prime MinisterBenjamin Netanyahu on Wednesday of caring only about his...,,
,MoMA Shutters as 500+ Protesters Infiltrate Atrium in Support of Palestine,Hyperallergic,4 days ago,"Organizers unveiled a banner that read “MoMA Trustees Fund Genocide,Apartheid, and Settler Colonialism.”",,
,Hundreds remobilize for pro-Palestine sit-in,The Stanford Daily,1 day ago,A second emergency rally occurred Monday night following University callsfor the demonstration to cease overnight camping by 8 p.m. or face...,,
,,,,,,
,,,,,,
,Palestine* - European Commission,European Civil Protection and Humanitarian Aid Operations,1 month ago,"The EU has been providing humanitarian assistance to Palestinians in needsince 2000, supporting vulnerable families affected by emergencies...",,
,"Pro-Palestine Protestors Interrupt Tania Bruguera Event in Berlin, CausingHer to End Performance Early",ARTnews.com,2 days ago,"Tania Bruguera ended a 100-hour reading of a Hannah Arendt text early afterpro-Palestine protestors interrupted the event, confronting her.",,
,Instagram removes accounts for leading NYC pro-Palestinian group Within OurLifetime,The Times of Israel,23 hours ago,"New York Jewish Week — Within Our Lifetime, perhaps the most visiblepro-Palestinian activist group in New York City, said on Friday that...",,
,Palestinian president in Qatar to discuss ceasefire efforts,Reuters,3 days ago,"Palestinian President Mahmoud Abbas arrived in Doha on Sunday for talks onsecuring a ceasefire in the Gaza war with the Qatari emir,...",,
,"“A War Against Palestinian Americans”: Jailed, Attacked, Killed in WestBank and U.S.",Democracy Now!,9 hours ago,"We look at the killing, arrests and attacks on Palestinian Americans bothin the Occupied Territories and in the United States.",,
,Australia to ban doxxing after pro-Palestinian activists publishinformation about hundreds of Jews,"ABC News - Breaking News, Latest News and Videos",1 day ago,The Australian government says will outlaw doxxing – the malicious releaseonline of personal or identifying information without the...,,
,Megachurch shooter’s AR-15 rifle had a ‘Palestine’ sticker on it,The Forward,2 days ago,"A woman who opened fire in a megachurch had a ""Palestine"" sticker on herrifle and had been in a dispute with her ex's Jewish relatives.",,
,Finding one another in sound: compilations for Palestine - CDM CreateDigital Music,CDM Create Digital Music,8 hours ago,"In the face of daily violence and massacres delivered in near real-time toour phones, musical artists are finding ways to find one another...",,
,Israeli forces shoot and kill 17-year-old Palestinian-American boy,Defense for Children Palestine,3 days ago,"Israeli forces shot dead Mohammad Ahmed Mohammad Khdour, 17, a U.S.citizen, on February 10 in the central occupied West Bank.",,
,,,,,,
,,,,,,
,"Houston church shooting suspect had 'Palestine' written on gun, localreports say",The National Desk,2 days ago,"HOUSTON, Texas (TND) — The gun used by a woman who reportedly opened fireat Lakewood Church in Houston,...",,
,The IOC needs to prepare itself for inevitable impact of Israel-Palestineconflict on Paris Olympics,CBC,6 hours ago,The International Olympic Committee has declared itself as politicallyneutral. But the Olympics are about people...,,
,"Palestine Solidarity Caucus sends roughly 14,000 letters to University viawriting campaign",The Brown Daily Herald,2 days ago,A letter-writing campaign organized by the Graduate Labor Organization'sPalestinian Solidarity Caucus has sent...,,
,Pro-Palestinian protesters interrupt Democrat Tom Suozzi's victory speechafter he wins congressional seat,Fox News,13 hours ago,Pro-Palestinian protesters interrupted former U.S. Rep. Tom Suozzi as hewas giving a victory speech Tuesday night...,,
,What Being Pro-Palestine Means to Me,The Walrus,1 day ago,I want Palestinians to be afforded basic humanity. I know saying so mightaffect my career or friendships.,,
,Crisis in Palestine: What is happening and how to help,International Rescue Committee,2 weeks ago,"People will struggle to recover and rebuild their lives. Even beforeOctober 7, 80% of Gaza's population were reliant...",,
,Palestinian President Mahmoud Abbas in Qatar for Gaza ceasefire talks,Al Jazeera,3 days ago,Palestinian President Mahmoud Abbas has arrived in Doha for talks onsecuring a ceasefire in Gaza with the Qatari...,,
,US by-election result interrupted by pro-Palestine supporters chanting 'yousupport genocide',GB News,3 hours ago,"A pro-Palestinian protester crashed the beginning of Democrat Tom Suozzi'svictory speech, accusing the...",,
,,,,,,
,,,,,,
,,,,,,
,Pro-Palestine protesters briefly block traffic at Golden Gate bridge,Al Mayadeen English,2 hours ago,The San Francisco Standard and Fox KTVU report that the Palestinian YouthMovement claimed responsibility for organizing the protest.,,
,"World Day of the Sick: Pope prays for Myanmar, Palestine, Israel and Ukraine",Vatican News,3 days ago,"Pope Francis prays for all those who are unable to receive medicaltreatment in the world, and especially in war-torn nations such as...",,
,Biden’s Valentine’s Day TikTok outreach runs smack into Gen Z’s support forPalestine,The Daily Dot,37 mins ago,Biden Palestine TikTok: President posted a video slamming Trump forValentine's Day. But commenters on the video turned attention to Rafah.,,
,Saudi Arabia Calls For Palestine State With Allies to End Israel-Hamas War,Bloomberg.com,5 days ago,Saudi Arabia is pushing for key Arab states to take a common position onhow to end Israel's war on Hamas as fears grow over its attacks on...,,
,Tania Bruguera's reading at Hamburger Bahnhof shut down after heatedpro-Palestine protests,The Art Newspaper,2 days ago,A statement from the museum says the incident involved activists using“hate speech” towards one of the readers and a museum director.,,
,Gun of Houston megachurch shooter read 'Free Palestine',The Jerusalem Post,2 days ago,"The female gunman who opened fire into the Texas megachurch on Sundayafternoon had 'Free Palestine' written on her AR-15, according to...",,
,Pro-Palestinian protesters briefly shut down San Francisco's Golden GateBridge during morning rush,Fox News,2 hours ago,"Pro-Palestinian demonstrators briefly shut down traffic on San Francisco'sGolden Gate Bridge Wednesday morning, local highway authorities...",,
,Harrowing audio reveals the moment a family was killed in Gaza,CNN,3 days ago,CNN's Nada Bashir explains how 5-year-old Palestinian girl Hind Rajab waskilled alongside family members after their car came under Israeli...,,
,,,,,,
,,,,,,
,,,,,,
,The U.S. and U.K. Should Recognize a Palestinian State Now - Opinion,Haaretz,3 days ago,"The Middle East Is Being Profoundly Reshaped by October 7, the Ensuing GazaWar, and an Increasingly Bloody Proxy Battle Between the U.S....",,
,Pro-Palestinian protestors swarm UW Station despite potential I-5 shutdowncharges,KOMO,1 day ago,SEATTLE — More calls for an end to the war between Israel and Palestine aspro-Palestinian protestors gathered outside UW Station on Monday.,,
,Gaza: Israel intensifies premeditated murder and sniper attacks againstPalestinian civilians [EN/AR] - occupied ...,ReliefWeb,3 days ago,News and Press Release in Arabic on occupied Palestinian territory aboutProtection and Human Rights; published on 11 Feb 2024 by Euro-Med...,,
,University pressure mounts to end pro-Palestine sit-in,The Stanford Daily,1 day ago,Stanford administrators told Sit-In to Stop Genocide participants to ceaseovernight protest by 8 p.m. tonight or face consequences through...,,
,"The Olive Tape"" Coalesces the Pain and Hope of Palestine as an ExpansiveMixtape",Grimy Goods,2 hours ago,All proceeds and donations via Bandcamp will go toward supporting theefforts of Palestine Children's Relief Fund (PCRF) and the NGO Anera.,,
,Co-Teaching a Class on Israel and Palestine,The New Yorker,2 weeks ago,"Bernard Avishai on his experience co-teaching the course “The Politics ofIsrael and Palestine” with Ezzedine Fishere, at Dartmouth College.",,
,Why Yemen stands with Palestine,The Real News Network,2 days ago,"The Houthi blockade of Israel-linked ships in the Red Sea has everything todo with Gaza, contrary to claims by the White House and...",,
,MIT suspends pro-Palestinian student group for violating protest rules:‘That’s why we have the rules’,Boston Herald,22 hours ago,"MIT has suspended a pro-Palestinian student group for violating campusprotest rules, according to the university president who emphasized...",,
,The economy of this Palestinian village depended on Israel. Then thecheckpoint closed,AP News,2 days ago,Israel's war on Hamas in Gaza has also wreaked havoc on the Palestinianeconomy in the West Bank. In response to Hamas' Oct. 7 attack that...,,
,,,,,,
,,,,,,
,Pro-Palestine protesters briefly block traffic at Golden Gate bridge,Al Mayadeen English,Prieš 2 valandas,"A pro-Palestine rally in San Francisco occurred today on US Route 101highway at the Golden Gate Bridge, a statement from the traffic...",,
,Israeli move to cut Gaza funds from tax revenues 'collective punishment':Palestine,Anadolu Ajansı,2023-12-11,Israel deducts funds allocated for Gaza Strip from Palestinian tax revenues- Anadolu Ajansı.,,
,Jews 'hounded out' of comedy show after refusing to stand for Palestinianflag,The Telegraph,Prieš 1 dieną,Soho Theatre 'sorry and saddened by an incident that took place at ourvenue at the end of a performance of Paul Currie: Shtoom',,
,Pro-Palestine Demonstrators Stage Sit-In at British Museum over BP Deal,ARTnews.com,Prieš 2 dienas,"The museum announced a 10-year, £50 million ($63.3 million) sponsorshipdeal with BP last December.",,
,"PM Modi discussed Israel, Palestine, Red Sea situation with UAE SheikhMohammed bin Zayed Al Nahyan",Times of India,Prieš 14 valandų,"On ANI's question, Foreign Secretary Vinay Mohan Kwatra said, that thedevelopments in the region are very important element of discussion...",,
,Palestine denounces resumption of Israeli attack on Gaza,Anadolu Ajansı,2023-12-01,At least 109 Palestinians were killed and several others injured as Israelquickly resumed striking various areas in the Gaza Strip following...,,
,Gaza War: Expected Socio-Economic Impacts on the State of Palestine,United Nations Development Programme,2023-11-09,"The war in Gaza continues unabated well past its first month, leavingbehind massive losses of life and infrastructure damage and forcing...",,
,"Israeli forces kill Palestine political analyst, his wife, children, “partof ongoing scholasticide,” alleges rights activists",Maktoob Media,Prieš 4 valandas,"Israeli forces killed political analyst Ayman Rafati, his wife and childrenafter shelling his home north of Gaza City, says Ramy Abdu,...",,
,"Palestine vindicated in its liberation struggle, Iran FM tells Hamas chief",IRNA English,Prieš 14 valandų,"Doha, IRNA – Iranian Foreign Minister Hossein Amir Amirabdollahian hasstressed that the world has acknowledged that the Palestinians have a...",,
,,,,,,
,,,,,,
,"Free Palestine' Protesters At Wyoming Capitol Accuse Gordon, Hageman OfGenocide",Cowboy State Daily,1 day ago,About 40 people gathered outside the Wyoming Capitol on Monday to accuseGov. Mark Gordon and U.S. Rep. Harriet Hageman of committing...,,
,New Orleans' Mardi Gras parades are crashed by pro-Palestinian protestorsduring wild Fat Tuesday celebrations,Daily Mail Online,6 hours ago,New Orleans' Mardi Gras parades have been crashed by pro-Palestinian groupsand demands for a ceasefire throughout celebrations that wrapped...,,
,Queer people continue organizing in solidarity with Palestine,Prism,1 week ago,"LGBTQIA+ solidarity with Palestinians has a long, rich history, and it'sgrowing despite years of Israeli pinkwashing.",,
,ACAPS Thematic report - Palestine: Impact of the conflict on children inthe Gaza strip (01 February 2024) - occupied ...,ReliefWeb,1 week ago,"Analysis in English on occupied Palestinian territory about Food andNutrition, Health and more; published on 6 Feb 2024 by ACAPS.",,
,"One year after the toxic train derailment, East Palestine is a town divided",NPR,1 week ago,"The East Palestine community is divided and exhausted, with many residentsready to move forward, even as others continue to raise concerns...",,
,The war in Gaza is wiping out Palestine's education and knowledge systems,The Conversation,6 days ago,"Scholars say Israel's destruction of Gaza's schools, universities andmuseums are part of an ongoing project to destroy Palestinian people,...",,
,Three pro-Palestine protesters found guilty of terror offence overparaglider images,The Independent,1 day ago,"Three people have been found guilty of a terror offence after displayingimages of paragliders at a pro-Palestine march in London, in the...",,
,"Pro-Palestinian demonstrators attend Cleveland City Council with new, loudtactic",Ideastream,1 day ago,Pro-Palestinian demonstrators filled Cleveland City Council's chambers onceagain Monday with a new tactic to urge for a Gaza ceasefire...,,
,,,,,,
,,,,,,
,,,,,,
,"Genesse Ivonne Moreno, Lakewood Church shooting suspect, allegedly became'abusive' to husband, posted rifle photo to IG",6abc Philadelphia,1 day ago,"Lakewood Church shooting suspect Genesse Moreno had an extensive criminaland mental health history, with the latter revealed in divorce...",,
,"We were walking in water, sand, mud’: Palestinian women describe terror of12-mile escape on foot from Gaza City",CNN,1 day ago,"After being trapped in a building in a besieged neighborhood of Gaza Cityfor more than a week, a group of Palestinian women told CNN they...",,
,Palestinian American stabbing victim describes how attacker singled him out,CNN,5 days ago,"CNN's Dianne Gallagher speaks with Zacharia Doar, a 23-year-old PalestinianAmerican, who fell victim to a stabbing attack after a...",,
,Pro-Palestine note was hostile,Alexandria Times,6 days ago,"To the editor: Regarding the letter entitled “Amplify Gaza voices, not anupset diner” by Boyd Walker in the January 18 Alexandria Times,...",,
,Israel-Hamas war: Palestinian siblings see parents killed in IDF raid,Sky News,18 hours ago,Our team in Gaza has spoken to a young brother and sister who watched theirparents killed by Israeli troops and their disabled sibling...,,
,"Israel/Palestine: Unprecedented Killings, Repression",Human Rights Watch,1 month ago,"Civilians were targeted, attacked, abused, and killed over the past year ata scale unprecedented in the recent history of Israel and...",,
,Pro-Palestinian protesters demand library put author's books back on shelves,CBC,2 days ago,"Wearing keffiyehs and waving Palestinian flags, protesters gathered Sundayin front of Montreal's Jewish Public Library to show their...",,
,New Orleans business owner with dual citizenship in Palestine now missingin the West Bank,WDSU,1 week ago,"He said an hour before his mother, was forcefully taken out of her home bythe IDF in Palestine, he was telling her she should return to the...",,
,"Dozens of pro-Palestinian supporters halt Raleigh City Council meetingTuesday, demanding ceasefire in Gaza",WRAL.com,1 day ago,Pro-Palestinian protesters disrupted Tuesday's Raleigh City Council meetingjust one week after Raleigh Mayor Mary-Ann Baldwin said the...,,
,,,,,,
,,,,,,
,"Galloway Rochdale vote will send a message of Palestine solidarity,Communists say",Morning Star | The People’s Daily,vor 5 Stunden,"ONLY a vote for the candidature of George Galloway in Rochdale will send amessage of solidarity with Palestine amid the Gaza crisis,...",,
,Hundreds remobilize for pro-Palestine sit-in,The Stanford Daily,vor 1 Tag,A second emergency rally occurred Monday night following University callsfor the demonstration to cease overnight camping by 8 p.m. or face...,,
,Spenden für behinderte Kinder in Palästina,Deutsches Rotes Kreuz (DRK),02.09.2021,Spenden für behinderte Kinder in Palästina: Das DRK unterstützt dieFörderung von Kindern & Jugendlichen mit Behinderung ▷ Jetzt mit einerSpende helfen!,,
,"Jordan: Arrests, Harassment of Pro-Palestine Protesters",Human Rights Watch,vor 1 Woche,Jordanian authorities have arrested and harassed scores of Jordanians whoparticipated in pro-Palestine protests across the country or...,,
,"Lakewood Church shooting: AR-15 had 'Palestine' sticker, antisemiticwritings recovered, police say","ABC News - Breaking News, Latest News and Videos",vor 2 Tagen,A pro-Palestinian message was written on the gun belonging to a woman whoopened fire at celebrity pastor Joel Osteen's Lakewood Church in...,,
,We have to do it for them’: Protest in support of Palestine draws crowd inSchenley Plaza,The Pitt News,vor 7 Stunden,About 200 students and community members gathered in Schenley Plaza for anemergency “Hands Off Rafah” rally in the wake of Israel's recent barrageon...,,
,"Austria restores aid funds for Palestine, releasing $18.8M for 9 projects",Anadolu Ajansı,07.12.2023,Austria announced on Thursday that it is restoring aid funds for Palestineand releasing €17.5 million (approximately $18.8 million) for nine...,,
,Watch: QUB says 'not acceptable' as pro-Palestine slogan shines acrossbuilding,Belfast Telegraph,vor 1 Stunde,Queen's University has said a pro-Palestinian message calling for theremoval of Hillary Clinton as Chancellor displayed across the main...,,
,Israel/Palestine: what the EU stands for,EEAS,23.10.2023,The EU's position was drawn up at the extraordinary informal ForeignAffairs Council that I had convened in Oman on October 10 and confirmedby...,,
,,,,,,
,,,,,,
,Meta: Systemic Censorship of Palestine Content,Human Rights Watch,"Dec 20, 2023","The 51-page report, “Meta's Broken Promises: Systemic Censorship ofPalestine Content on Instagram and Facebook,” documents a pattern ofundue...",,
,Why is Germany so viciously anti-Palestinian?,Al Jazeera,1 month ago,The German authorities have clearly identified anti-Palestinianism as anational interest and a state policy. They wholeheartedly support...,,
,Three people who wore paraglider images at Palestine rally guilty of terroroffence,London Evening Standard,8 hours ago,Three people who displayed images of paragliders at a pro-Palestinian marchhave been convicted of a terrorist offence.,,
,Harvard students' pro-Palestine hunger strike lasts only 12 hours,Campus Reform,2 days ago,"Over 30 Harvard University stopped eating in support of students at BrownUniversity, whose own strike ended just hours later.",,
,Meta's Broken Promises: Systemic Censorship of Palestine Content onInstagram and Facebook | HRW,Human Rights Watch,1 month ago,"The 51-page report, “Meta's Broken Promises: Systemic Censorship ofPalestine Content on Instagram and Facebook,” documents a pattern of...",,
,No evictions—or movie tickets—for solidarity with Palestine,Chicago Reader,4 days ago,Logan Square residents and neighbors respond to a tenant eviction with aboycott of the Logan Theatre.,,
,Opinion: Palestine deserves to be free. Israel deserves to exist. How do wegive peace better PR?,Los Angeles Times,1 month ago,"It's that there isn't a clear and exciting enough symbol for a middle way,a two-state solution. Palestine deserves to be free. Israel also...",,
,Mayor of London Sadiq Khan shaken by pro-Palestine deepfake – POLITICO,POLITICO.eu,1 day ago,LONDON — London Mayor Sadiq Khan believes fake audio of him makinginflammatory remarks before last year's Armistice Day almost caused...,,
,,,,,,
,,,,,,
,,,,,,
,"Palestine vindicated in its liberation struggle, Iran FM tells Hamas chief",IRNA English,14 uur geleden,"Doha, IRNA – Iranian Foreign Minister Hossein Amir Amirabdollahian hasstressed that the world has acknowledged that the Palestinians have a...",,
,Italy says Gaza should be part of future Palestine state,Anadolu Ajansı,13 nov 2023,"According to the state-run news agency ANSA, Foreign Minister AntonioTajani stated that Italy recognizes the Palestinian Authority, led by...",,
,Antisemitic writings' found in search of Joel Osteen megachurch shooter'sitems,NBC News,2 dagen geleden,Antisemitic writings” were found in a search of items belonging to theshooter who opened fire Sunday afternoon at Joel Osteen's Lakewood...,,
,Megachurch shooter’s AR-15 rifle had a ‘Palestine’ sticker on it,The Forward,2 dagen geleden,"A woman who opened fire in a megachurch had a ""Palestine"" sticker on herrifle and had been in a dispute with her ex's Jewish relatives.",,
,Pro-Palestine protest held in Aberystwyth town centre,Cambrian News,9 uur geleden,A SMALL group protestors turned out onto Aberystwyth streets on Mondayafternoon to share their outrage at the recent Israeli military...,,
,UN expert on Palestine calls for 'strong reaction' from Europe againstIsrael's attacks,Anadolu Ajansı,5 dec 2023,"Fellow Europeans, Italians, Germans: after the Holocaust, we shouldinstinctively know that Genocide starts with dehumanizing the Other. If...",,
,Palestine* - European Commission,European Civil Protection and Humanitarian Aid Operations,1 maand geleden,"The EU has been providing humanitarian assistance to Palestinians in needsince 2000, supporting vulnerable families affected by emergencies...",,
,"More than 3,000 Palestinian students killed in Israeli attacks in Gaza:Palestine",Anadolu Ajansı,20 nov 2023,"More than 3,000 students have been killed in Israeli assaults in the GazaStrip since Oct. 7, the Palestinian Health Ministry said Monday. “The...",,
,Pro-Palestine Demonstrators Stage Sit-In at British Museum over BP Deal,ARTnews.com,2 dagen geleden,"The museum announced a 10-year, £50 million ($63.3 million) sponsorshipdeal with BP last December.",,
,,,,,,
,,,,,,
,Israel and Palestine: How peace is possible | Mint,mint,3 days ago,"If you want to understand how desperately Israelis and Palestinians needpeace, consider what would become of them in a state of perpetual...",,
,Emirati envoy conditions Gaza rehab funds on progress toward Palestinianstate,The Times of Israel,2 days ago,Ambassador Nusseibeh tells World Government Summit in Dubai there is 'verystrong' consensus in Arab world on not funding reconstruction in...,,
,IDF Let Israeli Civilians Film Torture of Palestinian Detainees: Report,Common Dreams,21 hours ago,Israel Defense Forces officers brought Israeli civilians into detentioncenters and allowed them to watch and film Palestinian prisoners...,,
